,Movie Title,Year Released,Duration,IMBD Rating,Votes,Description,Genre,Director,Stars
34,The Boogeyman,I 2023,98 min,6.1,"10,889","
Still reeling from the tragic death of their mother, a teenage girl and her younger sister find themselves plagued by a sadistic presence in their house and struggle to get their grieving father to pay attention before it's too late.","['\nHorror', ' Mystery', ' Thriller            ']",Rob Savage,"['Sophie Thatcher', 'Chris Messina', 'Vivien Lyra Blair', 'David Dastmalchian']"
35,What We Do in the Shadows,2019– ,30 min,8.6,"86,148","
A look into the nightly lives of four vampires who have lived together on Staten Island for over a century.","['\nComedy', ' Fantasy', ' Horror            ']",Kayvan Novak,"['Matt Berry', 'Natasia Demetriou', 'Harvey Guillén']"
36,Little Bone Lodge,2023,93 min,6.2,"1,466","
Set during a very vicious storm, two criminal brothers on the run seek refuge in a desolate farmhouse. Taking the resident family captive, they find the house holds dark secrets of its own.","['\nCrime', ' Horror', ' Thriller            ']",Matthias Hoene,"['Joely Richardson', 'Neil Linpow', 'Sadie Soverall', 'Harry Cadby']"
37,The Pope's Exorcist,2023,103 min,6.1,"45,279","
Follow Gabriele Amorth, the Vatican's leading exorcist, as he investigates the possession of a child and uncovers a conspiracy the Vatican has tried to keep secret.","['\nHorror', ' Thriller            ']",Julius Avery,"['Russell Crowe', 'Daniel Zovatto', 'Alex Essoe', 'Franco Nero']"
38,Pearl,2022,103 min,7.0,"64,280","
In 1918, a young woman on the brink of madness pursues stardom in a desperate attempt to escape the drudgery, isolation and lovelessness of life on her parents' farm.","['\nDrama', ' Horror', ' Thriller            ']",Ti West,"['Mia Goth', 'David Corenswet', 'Tandi Wright', 'Matthew Sunderland']"
39,Alien,1979,117 min,8.5,"908,877","
The crew of a commercial spacecraft encounters a deadly lifeform after investigating an unknown transmission.","['\nHorror', ' Sci-Fi            ']",Ridley Scott,"['Sigourney Weaver', 'Tom Skerritt', 'John Hurt', 'Veronica Cartwright']"
40,The Meg,2018,113 min,5.6,"182,795","
A group of scientists exploring the Marianas Trench encounter the largest marine predator that has ever existed - the Megalodon.","['\nAction', ' Horror', ' Sci-Fi            ']",Jon Turteltaub,"['Jason Statham', 'Bingbing Li', 'Rainn Wilson', 'Cliff Curtis']"
41,Beetlejuice 2,2024,,,,"
This is a follow-up to the comedy Beetle Juice (1988), about a ghost who's recruited to help haunt a house.","['\nComedy', ' Fantasy', ' Horror            ']",Tim Burton,"['Jenna Ortega', 'Monica Bellucci', 'Michael Keaton', 'Winona Ryder']"
42,Old,2021,108 min,5.8,"142,351","
A vacationing family discovers that the secluded beach where they're relaxing for a few hours is somehow causing them to age rapidly, reducing their entire lives into a single day.","['\nDrama', ' Horror', ' Mystery            ']",M. Night Shyamalan,"['Gael García Bernal', 'Vicky Krieps', 'Rufus Sewell', 'Alex Wolff']"
43,The Wrath of Becky,2023,84 min,6.0,"4,751","
Two years after escaping a violent attack, a teenage girl must defend herself against a terrorist cell.","['\nAction', ' Horror', ' Thriller            ']",Matt Angel,"['Suzanne Coote', 'Lulu Wilson', 'Seann William Scott', 'Denise Burse', 'Jill Larson']"
44,Barbarian,2022,102 min,7.0,"153,071","
A woman staying at an Airbnb discovers that the house she has rented is not what it seems.","['\nHorror', ' Mystery', ' Thriller            ']",Zach Cregger,"['Georgina Campbell', 'Bill Skarsgård', 'Justin Long', 'Matthew Patrick Davis']"
45,Talk to Me,I 2022,94 min,7.4,944,"
When a group of friends discover how to conjure spirits using an embalmed hand, they become hooked on the new thrill, until one of them goes too far and unleashes terrifying supernatural forces.","['\nHorror', ' Thriller            ']",Danny Philippou,"['Michael Philippou', 'Sophie Wilde', 'Joe Bird', 'Alexandra Jensen', 'Otis Dhanji']"
46,Hannibal,2013–2015,44 min,8.5,"264,106","
Explores the early relationship between renowned psychiatrist Hannibal Lecter and a young FBI criminal profiler who is haunted by his ability to empathize with serial killers.","['\nCrime', ' Drama', ' Horror            ']",Hugh Dancy,"['Mads Mikkelsen', 'Caroline Dhavernas', 'Laurence Fishburne']"
47,Insidious: The Last Key,2018,103 min,5.7,"65,308","
Parapsychologist Dr. Elise Rainier faces her most fearsome and personal haunting yet, as she is drawn back to her ghostly childhood home where the terror began.","['\nHorror', ' Mystery', ' Thriller            ']",Adam Robitel,"['Lin Shaye', 'Leigh Whannell', 'Angus Sampson', 'Kirk Acevedo']"
48,Nope,2022,130 min,6.8,"235,759","
The residents of a lonely gulch in inland California bear witness to an uncanny and chilling discovery.","['\nHorror', ' Mystery', ' Sci-Fi            ']",Jordan Peele,"['Daniel Kaluuya', 'Keke Palmer', 'Brandon Perea', 'Michael Wincott']"
49,The Shining,1980,146 min,8.4,"1,056,096","
A family heads to an isolated hotel for the winter where a sinister presence influences the father into violence, while his psychic son sees horrific forebodings from both past and future.","['\nDrama', ' Horror            ']",Stanley Kubrick,"['Jack Nicholson', 'Shelley Duvall', 'Danny Lloyd', 'Scatman Crothers']"
